attendance,internal,participation,assignment,quiz,midsem,risk
78,10,1,7,1,11,High
91,13,1,12,1,21,Low
68,11,5,3,3,12,High
54,8,7,8,19,27,Medium
82,17,2,8,15,13,Medium
47,21,8,21,9,21,Low
60,6,4,17,12,29,Low
78,9,3,11,1,19,Medium
97,16,8,9,2,26,Medium
58,12,2,10,18,37,Medium
62,10,3,6,5,33,Medium
50,12,3,8,18,38,Medium
50,22,1,5,19,36,Medium
63,7,6,18,18,0,Medium
92,16,2,15,7,14,Medium
75,7,1,14,13,31,Medium
79,10,2,6,9,7,High
63,6,6,15,2,32,Low
42,16,4,4,5,17,High
61,6,6,15,14,28,Low
92,10,9,0,17,31,Medium
41,21,8,18,13,32,Low
63,7,1,4,18,4,High
83,6,8,6,9,17,Medium
69,24,9,18,14,9,Low
77,12,6,21,3,35,Low
41,16,5,4,1,32,Medium
99,8,6,16,2,22,Low
60,9,6,21,6,39,Medium
72,17,9,7,15,4,Medium
51,19,4,0,9,33,Medium
97,20,2,1,18,23,Low
61,14,9,14,16,16,Low
83,20,2,19,18,30,Low
64,16,9,17,4,6,Medium
88,21,2,10,19,16,Medium
66,20,8,24,12,27,Low
98,16,9,9,12,37,Low
81,12,9,23,10,21,Low
67,24,9,23,10,14,Low
99,7,2,3,15,36,Medium
55,20,4,4,14,14,Medium
54,17,7,3,16,24,Medium
86,23,2,12,17,20,Low
90,12,1,24,18,37,Low
83,9,3,12,3,1,High
94,24,4,17,4,26,Low
91,12,8,23,6,31,Low
96,16,6,1,1,20,Medium
42,5,2,15,0,3,High
76,24,9,0,11,18,Low
90,10,2,18,9,1,Medium
46,22,5,8,7,25,Medium
60,12,4,2,0,33,Medium
48,11,7,24,11,13,High
78,5,8,6,1,14,High
57,20,5,9,9,19,Medium
43,16,5,0,16,33,Medium
64,10,2,9,2,35,High
99,24,8,20,6,18,Low
53,6,2,8,11,8,High
89,18,6,14,7,6,Low
97,8,8,14,19,29,Low
48,5,6,2,11,12,High
65,22,4,24,2,26,Low
92,17,4,4,16,34,Low
41,6,6,8,8,12,High
59,13,4,21,9,14,Medium
67,6,8,8,5,8,High
86,13,9,22,0,22,Low
99,5,1,6,11,35,Medium
46,15,4,23,4,39,Low
83,7,4,22,12,2,Medium
47,24,2,11,14,33,Medium
86,8,6,24,10,18,Low
74,22,3,8,7,27,Medium
53,10,7,5,4,22,High
56,7,5,22,1,39,Medium
75,15,4,1,11,6,Medium
89,19,5,8,1,11,Medium
79,9,8,16,15,13,Medium
43,24,3,0,2,14,High
41,14,7,18,9,2,Medium
45,16,6,5,18,14,High
93,19,1,4,7,23,Medium
81,21,7,1,6,7,Medium
43,14,7,8,0,4,High
93,10,1,13,11,3,Medium
